Code	Indicator	Name
FO	LN		CARISA
FO	LN		CARISSA
FO	LN		CARITA
MF	LY		CARL
FO	LN		CARLA
FO	LY		CARLEE
FO	LN		CARLEEN
FO	LN		CARLENA
FO	LN		CARLENE
FO	LN		CARLETTA
FO	LY		CARLEY
FO	LY		CARLI
FO	LN		CARLIE
FO	LY		CARLINE
FO	LN		CARLITA
MO	LY		CARLO
MF	LY		CARLOS
FO	LN		CARLOTA
FO	LN		CARLOTTA
MO	LY		CARLTON
FO	LN		CARLY
FO	LN		CARLYN
FO	LN		CARMA
FO	LY		CARMAN
FO	LY		CARMEL
FO	LN		CARMELA
FO	LN		CARMELIA
FO	LN		CARMELINA
FO	LN		CARMELITA
FO	LY		CARMELLA
MO	LN		CARMELO
MF	LY		CARMEN
FO	LN		CARMINA
MO	LY		CARMINE
FO	LY		CARMON
MF	LY		CAROL
FO	LN		CAROLA
FO	LN		CAROLANN
FO	LN		CAROLE
FO	LN		CAROLEE
FO	LY		CAROLIN
FO	LY		CAROLINA
FO	LY		CAROLINE
FO	LY		CAROLL
FO	LN		CAROLYN
FO	LN		CAROLYNE
FO	LN		CAROLYNN
FO	LY		CARON
FO	LN		CAROYLN
FO	LN		CARRI
FO	LY		CARRIE
MF	LY		CARROL
MF	LY		CARROLL
FO	LY		CARRY
MO	LY		CARSON
MO	LY		CARTER
MF	LY		CARY
FO	LY		CARYL
FO	LN		CARYLON
FO	LN		CARYN
FO	LN		CASANDRA
MF	LY		CASEY
FO	LN		CASIE
FO	LN		CASIMIRA
FO	LY		CASSANDRA
FO	LN		CASSAUNDRA
FO	LY		CASSEY
FO	LY		CASSI
FO	LY		CASSIDY
FO	LN		CASSIE
FO	LN		CASSONDRA
FO	LN		CASSY
FO	LY		CATALINA
FO	LN		CATARINA
FO	LY		CATERINA
FO	LN		CATHARINE
FO	LN		CATHERIN
FO	LN		CATHERINA
FO	LY		CATHERINE
FO	LN		CATHERN
FO	LN		CATHERYN
FO	LY		CATHEY
FO	LN		CATHI
FO	LY		CATHIE
FO	LN		CATHLEEN
FO	LN		CATHRINE
FO	LN		CATHRYN
FO	LY		CATHY
FO	LN		CATINA
FO	LN		CATRICE
FO	LN		CATRINA
FO	LN		CAYLA
FO	LN		CECELIA
MF	LY		CECIL
FO	LN		CECILA
FO	LN		CECILE
FO	LY		CECILIA
FO	LN		CECILLE
FO	LN		CECILY
MO	LN		CEDRIC
MO	LN		CEDRICK
FO	LN		CELENA
FO	LN		CELESTA
FO	LY		CELESTE
FO	LN		CELESTINA
FO	LY		CELESTINE
FO	LY		CELIA
FO	LN		CELINA
FO	LN		CELINDA
FO	LN		CELINE
FO	LN		CELSA
FO	LN		CEOLA
MO	LY		CESAR
MO	LY		CHAD
MO	LY		CHADWICK
FO	LY		CHAE
FO	LY		CHAN
FO	LN		CHANA
MO	LY		CHANCE
FO	LN		CHANDA
FO	LY		CHANDRA
FO	LY		CHANEL
FO	LN		CHANELL
FO	LN		CHANELLE
MF	LY		CHANG
FO	LN		CHANTAL
FO	LN		CHANTAY
FO	LN		CHANTE
FO	LN		CHANTEL
FO	LN		CHANTELL
FO	LN		CHANTELLE
FO	LN		CHARA
FO	LN		CHARIS
FO	LN		CHARISE
FO	LN		CHARISSA
FO	LY		CHARISSE
FO	LN		CHARITA
FO	LY		CHARITY
FO	LN		CHARLA
FO	LN		CHARLEEN
FO	LN		CHARLENA
FO	LN		CHARLENE
MF	LY		CHARLES
FO	LN		CHARLESETTA
FO	LY		CHARLETTE
MO	LY		CHARLEY
MF	LY		CHARLIE
FO	LN		CHARLINE
FO	LN		CHARLOTT
